2 60.4026 52.52 -1  
1 30.1480 57.00 -1  
2 54.3120 40.61 -1  
2 67.6873 56.30 -1  
2 56.5219 53.33 -1  
1 39.7834 65.26 -1   
2 83.6248 69.70 -1  
1 22.4794 46.49 -1  
2 35.4877 32.41 -1  
2 73.7466 66.13 -1  
1 31.8789 56.87 -1  
1 64.5378 94.60 -1  
1 40.1362 63.88 -1  
2 49.5207 32.20 -1  
2 47.4938 33.76 -1  
1 17.8844 50.45 -1  
1 61.3159 90.96 -1  
1 25.7836 49.41 -1  
2 72.2148 53.32 -1  
1 60.9712 82.73 -1  
1 24.1494 53.87 -1  
1 81.9936 110.00 -1  
1 18.6775 57.31 -1  
1 48.3904 71.52 -1  
2 57.5867 47.31 -1  
1 64.2469 95.05 -1  
1 37.4821 56.49 -1  
1 46.3543 77.33 -1  
1 26.0576 59.13 -1  
1 48.3867 81.05 -1  
1 14.6073 48.15 -1  
1 29.6956 52.04 -1  
2 55.9233 52.46 -1  
2 66.7405 57.64 -1  
1 27.7609 53.41 -1  
2 72.3264 64.16 -1  
1 26.7437 60.18 -1  
1 55.7939 74.31 -1  
1 8.3169 35.07 -1  
2 64.6412 59.42 -1  
1 40.0659 68.20 -1  
1 55.4575 88.62 -1  
1 55.4911 80.55 -1  
1 40.2853 69.24 -1  
1 35.8341 63.86 -1  
1 37.9980 59.31 -1  
2 47.8632 33.15 -1  
2 58.3022 54.23 -1  
2 76.1362 60.52 -1  
2 74.8969 66.57 -1  
2 35.6375 17.61 -1  
2 80.1293 73.45 -1  
2 70.4464 57.79 -1  
2 54.7701 45.87 -1  
1 26.4401 56.28 -1  
2 59.2293 48.67 -1  
1 45.2930 71.33 -1  
2 28.6085 18.61 -1  
1 40.4538 64.66 -1  
2 70.1167 56.13 -1  
1 27.0394 45.80 -1  
1 57.5220 88.40 -1  
1 47.2844 74.84 -1  
2 91.3254 84.40 -1  
2 56.0727 45.70 -1  
1 57.8605 82.75 -1  
2 68.2976 54.22 -1  
1 70.1638 98.81 -1  
1 29.1665 54.90 -1  
2 65.2611 47.62 -1  
2 75.8809 65.11 -1  
2 72.8882 67.67 -1  
2 56.5129 49.18 -1  
1 32.3937 60.59 -1  
1 52.2033 84.30 -1  
1 33.4843 58.88 -1  
1 25.1622 47.63 -1  
2 64.1289 50.63 -1  
2 63.4066 53.56 -1  
2 75.8848 65.97 -1  
1 49.2636 72.74 -1  
1 63.9133 87.58 -1  
2 62.0136 57.61 -1  
2 60.0296 51.04 -1  
2 64.7929 52.74 -1  
2 52.0308 45.31 -1  
1 19.3972 51.90 -1  
1 32.0907 67.01 -1  
2 41.8753 28.71 -1  
1 11.6141 38.56 -1  
2 93.4260 84.48 -1  
2 76.3418 70.16 -1  
1 35.9960 58.61 -1  
2 57.9759 44.61 -1  
1 33.1350 60.43 -1  
1 35.4022 67.14 -1  
1 39.5441 64.07 -1  
2 63.6154 55.37 -1  
